"application_certification_map_id","application_id","certification_name","created_by","created_on","updated_by","updated_on"
97,"9edf8b8e-e914-4d2e-87aa-44919a05edd4","(SPOKEN)",NULL,"2023-01-10 11:58:33.269385+05:30",NULL,"2023-01-10 11:58:33.269385+05:30"
98,"9edf8b8e-e914-4d2e-87aa-44919a05edd4","HINDI PROFICIENCY",NULL,"2023-01-10 11:58:33.271948+05:30",NULL,"2023-01-10 11:58:33.271948+05:30"
99,"9edf8b8e-e914-4d2e-87aa-44919a05edd4","HINDI PROFICIENCY (WRITTEN)",NULL,"2023-01-10 11:58:33.274575+05:30",NULL,"2023-01-10 11:58:33.274575+05:30"
100,"9edf8b8e-e914-4d2e-87aa-44919a05edd4","(WRITTEN)",NULL,"2023-01-10 11:58:33.277061+05:30",NULL,"2023-01-10 11:58:33.277061+05:30"
101,"9edf8b8e-e914-4d2e-87aa-44919a05edd4","KANNADA PROFICIENCY",NULL,"2023-01-10 11:58:33.279525+05:30",NULL,"2023-01-10 11:58:33.279525+05:30"
102,"90877da4-b40e-4c81-91ec-0bc462224605","ENGLISH PROFICIENCY",NULL,"2023-01-17 11:59:33.616385+05:30",NULL,"2023-01-17 11:59:33.616385+05:30"
103,"90877da4-b40e-4c81-91ec-0bc462224605","HINDI PROFICIENCY (SPOKEN)",NULL,"2023-01-17 11:59:33.631495+05:30",NULL,"2023-01-17 11:59:33.631495+05:30"
104,"90877da4-b40e-4c81-91ec-0bc462224605","(SPOKEN)",NULL,"2023-01-17 11:59:33.63527+05:30",NULL,"2023-01-17 11:59:33.63527+05:30"
105,"90877da4-b40e-4c81-91ec-0bc462224605","HINDI PROFICIENCY",NULL,"2023-01-17 11:59:33.638989+05:30",NULL,"2023-01-17 11:59:33.638989+05:30"
106,"90877da4-b40e-4c81-91ec-0bc462224605","HINDI PROFICIENCY (WRITTEN)",NULL,"2023-01-17 11:59:33.642354+05:30",NULL,"2023-01-17 11:59:33.642354+05:30"
107,"90877da4-b40e-4c81-91ec-0bc462224605","(WRITTEN)",NULL,"2023-01-17 11:59:33.645163+05:30",NULL,"2023-01-17 11:59:33.645163+05:30"
108,"90877da4-b40e-4c81-91ec-0bc462224605","KANNADA PROFICIENCY",NULL,"2023-01-17 11:59:33.648139+05:30",NULL,"2023-01-17 11:59:33.648139+05:30"
109,"3b8371be-4579-4762-88ce-d032963f5036","ENGLISH PROFICIENCY",NULL,"2023-01-18 08:03:14.34717+05:30",NULL,"2023-01-18 08:03:14.34717+05:30"
110,"3b8371be-4579-4762-88ce-d032963f5036","HINDI PROFICIENCY (SPOKEN)",NULL,"2023-01-18 08:03:14.359409+05:30",NULL,"2023-01-18 08:03:14.359409+05:30"
111,"3b8371be-4579-4762-88ce-d032963f5036","(SPOKEN)",NULL,"2023-01-18 08:03:14.364694+05:30",NULL,"2023-01-18 08:03:14.364694+05:30"
112,"3b8371be-4579-4762-88ce-d032963f5036","HINDI PROFICIENCY",NULL,"2023-01-18 08:03:14.371274+05:30",NULL,"2023-01-18 08:03:14.371274+05:30"
113,"3b8371be-4579-4762-88ce-d032963f5036","HINDI PROFICIENCY (WRITTEN)",NULL,"2023-01-18 08:03:14.376342+05:30",NULL,"2023-01-18 08:03:14.376342+05:30"
114,"3b8371be-4579-4762-88ce-d032963f5036","(WRITTEN)",NULL,"2023-01-18 08:03:14.380785+05:30",NULL,"2023-01-18 08:03:14.380785+05:30"
115,"3b8371be-4579-4762-88ce-d032963f5036","KANNADA PROFICIENCY",NULL,"2023-01-18 08:03:14.38507+05:30",NULL,"2023-01-18 08:03:14.38507+05:30"
